"REF_DATE","GEO","Educational.attainment.level","Age.group","Sex","UOM","VALUE"
2009,"Alberta","Master's or Doctoral level","Total, 25 to 64 years","Both sexes","Percent",3
2009,"Alberta","Master's or Doctoral level","Total, 25 to 64 years","Female","Percent",3
2009,"Alberta","Master's or Doctoral level","Total, 25 to 64 years","Male","Percent",3.5
2009,"Alberta","Post-secondary non-tertiary education","25 to 44 years","Both sexes","Percent",14
2009,"Alberta","Post-secondary non-tertiary education","25 to 44 years","Female","Percent",8
2009,"Alberta","Post-secondary non-tertiary education","25 to 44 years","Male","Percent",19.5
2009,"Alberta","Post-secondary non-tertiary education","45 to 64 years","Both sexes","Percent",17.5
2009,"Alberta","Post-secondary non-tertiary education","45 to 64 years","Female","Percent",10.5
2009,"Alberta","Post-secondary non-tertiary education","45 to 64 years","Male","Percent",25
2009,"Alberta","Post-secondary non-tertiary education","Total, 25 to 64 years","Both sexes","Percent",8
2009,"Alberta","Post-secondary non-tertiary education","Total, 25 to 64 years","Female","Percent",4.5
2009,"Alberta","Post-secondary non-tertiary education","Total, 25 to 64 years","Male","Percent",11
2009,"Alberta","Pre-primary and primary","25 to 44 years","Both sexes","Percent",1.5
2009,"Alberta","Pre-primary and primary","25 to 44 years","Female","Percent",1.5
2009,"Alberta","Pre-primary and primary","25 to 44 years","Male","Percent",1.5
2009,"Alberta","Pre-primary and primary","45 to 64 years","Both sexes","Percent",3
2009,"Alberta","Pre-primary and primary","45 to 64 years","Female","Percent",2.5
2009,"Alberta","Pre-primary and primary","45 to 64 years","Male","Percent",3
2009,"Alberta","Pre-primary and primary","Total, 25 to 64 years","Both sexes","Percent",1
2009,"Alberta","Pre-primary and primary","Total, 25 to 64 years","Female","Percent",1
2009,"Alberta","Pre-primary and primary","Total, 25 to 64 years","Male","Percent",1
2009,"Alberta","Short-cycle tertiary","25 to 44 years","Both sexes","Percent",22
2009,"Alberta","Short-cycle tertiary","25 to 44 years","Female","Percent",27
2009,"Alberta","Short-cycle tertiary","25 to 44 years","Male","Percent",17.5
2009,"Alberta","Short-cycle tertiary","45 to 64 years","Both sexes","Percent",20
2009,"Alberta","Short-cycle tertiary","45 to 64 years","Female","Percent",25.5
2009,"Alberta","Short-cycle tertiary","45 to 64 years","Male","Percent",14.5
2009,"Alberta","Short-cycle tertiary","Total, 25 to 64 years","Both sexes","Percent",10.5
2009,"Alberta","Short-cycle tertiary","Total, 25 to 64 years","Female","Percent",13
2009,"Alberta","Short-cycle tertiary","Total, 25 to 64 years","Male","Percent",8
2009,"Alberta","Tertiary education","25 to 44 years","Both sexes","Percent",50
2009,"Alberta","Tertiary education","25 to 44 years","Female","Percent",57
2009,"Alberta","Tertiary education","25 to 44 years","Male","Percent",43
2009,"Alberta","Tertiary education","45 to 64 years","Both sexes","Percent",40
2009,"Alberta","Tertiary education","45 to 64 years","Female","Percent",45.5
2009,"Alberta","Tertiary education","45 to 64 years","Male","Percent",35
2009,"Alberta","Tertiary education","Total, 25 to 64 years","Both sexes","Percent",22.5
2009,"Alberta","Tertiary education","Total, 25 to 64 years","Female","Percent",26
2009,"Alberta","Tertiary education","Total, 25 to 64 years","Male","Percent",19.5
2009,"Alberta","Total, all levels","25 to 44 years","Both sexes","Percent",100
2009,"Alberta","Total, all levels","25 to 44 years","Female","Percent",100
2009,"Alberta","Total, all levels","25 to 44 years","Male","Percent",100
2009,"Alberta","Total, all levels","45 to 64 years","Both sexes","Percent",100
2009,"Alberta","Total, all levels","45 to 64 years","Female","Percent",100
2009,"Alberta","Total, all levels","45 to 64 years","Male","Percent",100
2009,"Alberta","Total, all levels","Total, 25 to 64 years","Both sexes","Percent",50
2009,"Alberta","Total, all levels","Total, 25 to 64 years","Female","Percent",50
2009,"Alberta","Total, all levels","Total, 25 to 64 years","Male","Percent",50
2009,"Alberta","Upper secondary","25 to 44 years","Both sexes","Percent",27
2009,"Alberta","Upper secondary","25 to 44 years","Female","Percent",26.5
2009,"Alberta","Upper secondary","25 to 44 years","Male","Percent",27.5
2009,"Alberta","Upper secondary","45 to 64 years","Both sexes","Percent",29.5
2009,"Alberta","Upper secondary","45 to 64 years","Female","Percent",32
2009,"Alberta","Upper secondary","45 to 64 years","Male","Percent",26
2009,"Alberta","Upper secondary","Total, 25 to 64 years","Both sexes","Percent",14
2009,"Alberta","Upper secondary","Total, 25 to 64 years","Female","Percent",14.5
2009,"Alberta","Upper secondary","Total, 25 to 64 years","Male","Percent",13.5
2009,"Alberta","Upper secondary and post-secondary non-tertiary","25 to 44 years","Both sexes","Percent",41
2009,"Alberta","Upper secondary and post-secondary non-tertiary","25 to 44 years","Female","Percent",35.5
2009,"Alberta","Upper secondary and post-secondary non-tertiary","25 to 44 years","Male","Percent",47
2009,"Alberta","Upper secondary and post-secondary non-tertiary","45 to 64 years","Both sexes","Percent",47
2009,"Alberta","Upper secondary and post-secondary non-tertiary","45 to 64 years","Female","Percent",41.5
2009,"Alberta","Upper secondary and post-secondary non-tertiary","45 to 64 years","Male","Percent",51.5
2009,"Alberta","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes","Percent",22
2009,"Alberta","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female","Percent",19
2009,"Alberta","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male","Percent",24.5
2009,"Alberta","Upper secondary or above","25 to 44 years","Both sexes","Percent",91
2009,"Alberta","Upper secondary or above","25 to 44 years","Female","Percent",92.5
2009,"Alberta","Upper secondary or above","25 to 44 years","Male","Percent",89.5
2009,"Alberta","Upper secondary or above","45 to 64 years","Both sexes","Percent",87
2009,"Alberta","Upper secondary or above","45 to 64 years","Female","Percent",87.5
2009,"Alberta","Upper secondary or above","45 to 64 years","Male","Percent",86.5
2009,"Alberta","Upper secondary or above","Total, 25 to 64 years","Both sexes","Percent",44.5
2009,"Alberta","Upper secondary or above","Total, 25 to 64 years","Female","Percent",45
2009,"Alberta","Upper secondary or above","Total, 25 to 64 years","Male","Percent",44
2009,"British Columbia","Bachelor's level","25 to 44 years","Both sexes","Percent",22
2009,"British Columbia","Bachelor's level","25 to 44 years","Female","Percent",25
2009,"British Columbia","Bachelor's level","25 to 44 years","Male","Percent",19.5
2009,"British Columbia","Bachelor's level","45 to 64 years","Both sexes","Percent",14.5
2009,"British Columbia","Bachelor's level","45 to 64 years","Female","Percent",15
2009,"British Columbia","Bachelor's level","45 to 64 years","Male","Percent",14
2009,"British Columbia","Bachelor's level","Total, 25 to 64 years","Both sexes","Percent",9
2009,"British Columbia","Bachelor's level","Total, 25 to 64 years","Female","Percent",10
2009,"British Columbia","Bachelor's level","Total, 25 to 64 years","Male","Percent",8.5
2009,"British Columbia","Below upper secondary","25 to 44 years","Both sexes","Percent",6.5
2009,"British Columbia","Below upper secondary","25 to 44 years","Female","Percent",5.5
2009,"British Columbia","Below upper secondary","25 to 44 years","Male","Percent",8
2009,"British Columbia","Below upper secondary","45 to 64 years","Both sexes","Percent",11.5
2009,"British Columbia","Below upper secondary","45 to 64 years","Female","Percent",11
2009,"British Columbia","Below upper secondary","45 to 64 years","Male","Percent",12.5
2009,"British Columbia","Below upper secondary","Total, 25 to 64 years","Both sexes","Percent",4.5
2009,"British Columbia","Below upper secondary","Total, 25 to 64 years","Female","Percent",4
2009,"British Columbia","Below upper secondary","Total, 25 to 64 years","Male","Percent",5
2009,"British Columbia","Lower secondary","25 to 44 years","Both sexes","Percent",5.5
2009,"British Columbia","Lower secondary","25 to 44 years","Female","Percent",4.5
2009,"British Columbia","Lower secondary","25 to 44 years","Male","Percent",7
2009,"British Columbia","Lower secondary","45 to 64 years","Both sexes","Percent",8.5
2009,"British Columbia","Lower secondary","45 to 64 years","Female","Percent",7
2009,"British Columbia","Lower secondary","45 to 64 years","Male","Percent",9
2009,"British Columbia","Lower secondary","Total, 25 to 64 years","Both sexes","Percent",3.5
2009,"British Columbia","Lower secondary","Total, 25 to 64 years","Female","Percent",3
2009,"British Columbia","Lower secondary","Total, 25 to 64 years","Male","Percent",4
2009,"British Columbia","Master's or Doctoral level","25 to 44 years","Both sexes","Percent",9
2009,"British Columbia","Master's or Doctoral level","25 to 44 years","Female","Percent",9.5
2009,"British Columbia","Master's or Doctoral level","25 to 44 years","Male","Percent",9
2009,"British Columbia","Master's or Doctoral level","45 to 64 years","Both sexes","Percent",8.5
2009,"British Columbia","Master's or Doctoral level","45 to 64 years","Female","Percent",7.5
2009,"British Columbia","Master's or Doctoral level","45 to 64 years","Male","Percent",9.5
2009,"British Columbia","Master's or Doctoral level","Total, 25 to 64 years","Both sexes","Percent",4.5
2009,"British Columbia","Master's or Doctoral level","Total, 25 to 64 years","Female","Percent",4
2009,"British Columbia","Master's or Doctoral level","Total, 25 to 64 years","Male","Percent",5
2009,"British Columbia","Post-secondary non-tertiary education","25 to 44 years","Both sexes","Percent",11.5
2009,"British Columbia","Post-secondary non-tertiary education","25 to 44 years","Female","Percent",6.5
2009,"British Columbia","Post-secondary non-tertiary education","25 to 44 years","Male","Percent",16.5
2009,"British Columbia","Post-secondary non-tertiary education","45 to 64 years","Both sexes","Percent",13.5
2009,"British Columbia","Post-secondary non-tertiary education","45 to 64 years","Female","Percent",7
2009,"British Columbia","Post-secondary non-tertiary education","45 to 64 years","Male","Percent",20
2009,"British Columbia","Post-secondary non-tertiary education","Total, 25 to 64 years","Both sexes","Percent",6
2009,"British Columbia","Post-secondary non-tertiary education","Total, 25 to 64 years","Female","Percent",3.5
2009,"British Columbia","Post-secondary non-tertiary education","Total, 25 to 64 years","Male","Percent",9
2009,"British Columbia","Pre-primary and primary","25 to 44 years","Both sexes","Percent",1
2009,"British Columbia","Pre-primary and primary","25 to 44 years","Female","Percent",1
2009,"British Columbia","Pre-primary and primary","25 to 44 years","Male","Percent",1
2009,"British Columbia","Pre-primary and primary","45 to 64 years","Both sexes","Percent",3
2009,"British Columbia","Pre-primary and primary","45 to 64 years","Female","Percent",3.5
2009,"British Columbia","Pre-primary and primary","45 to 64 years","Male","Percent",3.5
2009,"British Columbia","Pre-primary and primary","Total, 25 to 64 years","Both sexes","Percent",1
2009,"British Columbia","Pre-primary and primary","Total, 25 to 64 years","Female","Percent",1
2009,"British Columbia","Pre-primary and primary","Total, 25 to 64 years","Male","Percent",1
2009,"British Columbia","Short-cycle tertiary","25 to 44 years","Both sexes","Percent",20.5
2009,"British Columbia","Short-cycle tertiary","25 to 44 years","Female","Percent",25.5
2009,"British Columbia","Short-cycle tertiary","25 to 44 years","Male","Percent",15
2009,"British Columbia","Short-cycle tertiary","45 to 64 years","Both sexes","Percent",20
2009,"British Columbia","Short-cycle tertiary","45 to 64 years","Female","Percent",25.5
2009,"British Columbia","Short-cycle tertiary","45 to 64 years","Male","Percent",14
2009,"British Columbia","Short-cycle tertiary","Total, 25 to 64 years","Both sexes","Percent",10
2009,"British Columbia","Short-cycle tertiary","Total, 25 to 64 years","Female","Percent",13
2009,"British Columbia","Short-cycle tertiary","Total, 25 to 64 years","Male","Percent",7.5
2009,"British Columbia","Tertiary education","25 to 44 years","Both sexes","Percent",51.5
2009,"British Columbia","Tertiary education","25 to 44 years","Female","Percent",60
2009,"British Columbia","Tertiary education","25 to 44 years","Male","Percent",43.5
2009,"British Columbia","Tertiary education","45 to 64 years","Both sexes","Percent",42.5
2009,"British Columbia","Tertiary education","45 to 64 years","Female","Percent",48
2009,"British Columbia","Tertiary education","45 to 64 years","Male","Percent",38
2009,"British Columbia","Tertiary education","Total, 25 to 64 years","Both sexes","Percent",23.5
2009,"British Columbia","Tertiary education","Total, 25 to 64 years","Female","Percent",27
2009,"British Columbia","Tertiary education","Total, 25 to 64 years","Male","Percent",20.5
2009,"British Columbia","Total, all levels","25 to 44 years","Both sexes","Percent",100
2009,"British Columbia","Total, all levels","25 to 44 years","Female","Percent",100
2009,"British Columbia","Total, all levels","25 to 44 years","Male","Percent",100
2009,"British Columbia","Total, all levels","45 to 64 years","Both sexes","Percent",100
2009,"British Columbia","Total, all levels","45 to 64 years","Female","Percent",100
2009,"British Columbia","Total, all levels","45 to 64 years","Male","Percent",100
2009,"British Columbia","Total, all levels","Total, 25 to 64 years","Both sexes","Percent",50
2009,"British Columbia","Total, all levels","Total, 25 to 64 years","Female","Percent",50
2009,"British Columbia","Total, all levels","Total, 25 to 64 years","Male","Percent",50
2009,"British Columbia","Upper secondary","25 to 44 years","Both sexes","Percent",30
2009,"British Columbia","Upper secondary","25 to 44 years","Female","Percent",28.5
2009,"British Columbia","Upper secondary","25 to 44 years","Male","Percent",32.5
2009,"British Columbia","Upper secondary","45 to 64 years","Both sexes","Percent",32
2009,"British Columbia","Upper secondary","45 to 64 years","Female","Percent",34.5
2009,"British Columbia","Upper secondary","45 to 64 years","Male","Percent",29.5
2009,"British Columbia","Upper secondary","Total, 25 to 64 years","Both sexes","Percent",15.5
2009,"British Columbia","Upper secondary","Total, 25 to 64 years","Female","Percent",16
2009,"British Columbia","Upper secondary","Total, 25 to 64 years","Male","Percent",15.5
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","25 to 44 years","Both sexes","Percent",41.5
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","25 to 44 years","Female","Percent",34.5
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","25 to 44 years","Male","Percent",48.5
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","45 to 64 years","Both sexes","Percent",45.5
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","45 to 64 years","Female","Percent",42
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","45 to 64 years","Male","Percent",49.5
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes","Percent",22
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female","Percent",19
2009,"British Columbia","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male","Percent",24.5
2009,"British Columbia","Upper secondary or above","25 to 44 years","Both sexes","Percent",93.5
2009,"British Columbia","Upper secondary or above","25 to 44 years","Female","Percent",94.5
2009,"British Columbia","Upper secondary or above","25 to 44 years","Male","Percent",92
2009,"British Columbia","Upper secondary or above","45 to 64 years","Both sexes","Percent",88.5
2009,"British Columbia","Upper secondary or above","45 to 64 years","Female","Percent",89
2009,"British Columbia","Upper secondary or above","45 to 64 years","Male","Percent",87.5
2009,"British Columbia","Upper secondary or above","Total, 25 to 64 years","Both sexes","Percent",45.5
2009,"British Columbia","Upper secondary or above","Total, 25 to 64 years","Female","Percent",46
2009,"British Columbia","Upper secondary or above","Total, 25 to 64 years","Male","Percent",45
2009,"Canada","Bachelor's level","25 to 44 years","Both sexes","Percent",21
2009,"Canada","Bachelor's level","25 to 44 years","Female","Percent",23.5
2009,"Canada","Bachelor's level","25 to 44 years","Male","Percent",18.5
2009,"Canada","Bachelor's level","45 to 64 years","Both sexes","Percent",13.5
2009,"Canada","Bachelor's level","45 to 64 years","Female","Percent",13.5
2009,"Canada","Bachelor's level","45 to 64 years","Male","Percent",14
2009,"Canada","Bachelor's level","Total, 25 to 64 years","Both sexes","Percent",8.5
2009,"Canada","Bachelor's level","Total, 25 to 64 years","Female","Percent",9
2009,"Canada","Bachelor's level","Total, 25 to 64 years","Male","Percent",8
2009,"Canada","Below upper secondary","25 to 44 years","Both sexes","Percent",8.5
2009,"Canada","Below upper secondary","25 to 44 years","Female","Percent",7.5
2009,"Canada","Below upper secondary","25 to 44 years","Male","Percent",10
2009,"Canada","Below upper secondary","45 to 64 years","Both sexes","Percent",17
2009,"Canada","Below upper secondary","45 to 64 years","Female","Percent",16
2009,"Canada","Below upper secondary","45 to 64 years","Male","Percent",17.5
2009,"Canada","Below upper secondary","Total, 25 to 64 years","Both sexes","Percent",6.5
2009,"Canada","Below upper secondary","Total, 25 to 64 years","Female","Percent",5.5
2009,"Canada","Below upper secondary","Total, 25 to 64 years","Male","Percent",7
2009,"Canada","Lower secondary","25 to 44 years","Both sexes","Percent",7
2009,"Canada","Lower secondary","25 to 44 years","Female","Percent",5.5
2009,"Canada","Lower secondary","25 to 44 years","Male","Percent",8
2009,"Canada","Lower secondary","45 to 64 years","Both sexes","Percent",11
2009,"Canada","Lower secondary","45 to 64 years","Female","Percent",10.5
2009,"Canada","Lower secondary","45 to 64 years","Male","Percent",11.5
2009,"Canada","Lower secondary","Total, 25 to 64 years","Both sexes","Percent",4.5
2009,"Canada","Lower secondary","Total, 25 to 64 years","Female","Percent",4
2009,"Canada","Lower secondary","Total, 25 to 64 years","Male","Percent",5
2009,"Canada","Master's or Doctoral level","25 to 44 years","Both sexes","Percent",8.5
2009,"Canada","Master's or Doctoral level","25 to 44 years","Female","Percent",9
2009,"Canada","Master's or Doctoral level","25 to 44 years","Male","Percent",8.5
2009,"Canada","Master's or Doctoral level","45 to 64 years","Both sexes","Percent",7.5
2009,"Canada","Master's or Doctoral level","45 to 64 years","Female","Percent",6
2009,"Canada","Master's or Doctoral level","45 to 64 years","Male","Percent",8.5
2009,"Canada","Master's or Doctoral level","Total, 25 to 64 years","Both sexes","Percent",4
2009,"Canada","Master's or Doctoral level","Total, 25 to 64 years","Female","Percent",3.5
2009,"Canada","Master's or Doctoral level","Total, 25 to 64 years","Male","Percent",4
2009,"Canada","Post-secondary non-tertiary education","25 to 44 years","Both sexes","Percent",11
2009,"Canada","Post-secondary non-tertiary education","25 to 44 years","Female","Percent",8
2009,"Canada","Post-secondary non-tertiary education","25 to 44 years","Male","Percent",14.5
2009,"Canada","Post-secondary non-tertiary education","45 to 64 years","Both sexes","Percent",13
2009,"Canada","Post-secondary non-tertiary education","45 to 64 years","Female","Percent",9
2009,"Canada","Post-secondary non-tertiary education","45 to 64 years","Male","Percent",17
2009,"Canada","Post-secondary non-tertiary education","Total, 25 to 64 years","Both sexes","Percent",6
2009,"Canada","Post-secondary non-tertiary education","Total, 25 to 64 years","Female","Percent",4
2009,"Canada","Post-secondary non-tertiary education","Total, 25 to 64 years","Male","Percent",8
2009,"Canada","Pre-primary and primary","25 to 44 years","Both sexes","Percent",1.5
2009,"Canada","Pre-primary and primary","25 to 44 years","Female","Percent",1.5
2009,"Canada","Pre-primary and primary","25 to 44 years","Male","Percent",2.5
2009,"Canada","Pre-primary and primary","45 to 64 years","Both sexes","Percent",6
2009,"Canada","Pre-primary and primary","45 to 64 years","Female","Percent",5.5
2009,"Canada","Pre-primary and primary","45 to 64 years","Male","Percent",6
2009,"Canada","Pre-primary and primary","Total, 25 to 64 years","Both sexes","Percent",2
2009,"Canada","Pre-primary and primary","Total, 25 to 64 years","Female","Percent",2
2009,"Canada","Pre-primary and primary","Total, 25 to 64 years","Male","Percent",2
2009,"Canada","Short-cycle tertiary","25 to 44 years","Both sexes","Percent",26.5
2009,"Canada","Short-cycle tertiary","25 to 44 years","Female","Percent",30
2009,"Canada","Short-cycle tertiary","25 to 44 years","Male","Percent",22.5
2009,"Canada","Short-cycle tertiary","45 to 64 years","Both sexes","Percent",22
2009,"Canada","Short-cycle tertiary","45 to 64 years","Female","Percent",25
2009,"Canada","Short-cycle tertiary","45 to 64 years","Male","Percent",18
2009,"Canada","Short-cycle tertiary","Total, 25 to 64 years","Both sexes","Percent",12
2009,"Canada","Short-cycle tertiary","Total, 25 to 64 years","Female","Percent",14
2009,"Canada","Short-cycle tertiary","Total, 25 to 64 years","Male","Percent",10
2009,"Canada","Tertiary education","25 to 44 years","Both sexes","Percent",55.5
2009,"Canada","Tertiary education","25 to 44 years","Female","Percent",62
2009,"Canada","Tertiary education","25 to 44 years","Male","Percent",49.5
2009,"Canada","Tertiary education","45 to 64 years","Both sexes","Percent",43
2009,"Canada","Tertiary education","45 to 64 years","Female","Percent",45
2009,"Canada","Tertiary education","45 to 64 years","Male","Percent",40
2009,"Canada","Tertiary education","Total, 25 to 64 years","Both sexes","Percent",24.5
2009,"Canada","Tertiary education","Total, 25 to 64 years","Female","Percent",27
2009,"Canada","Tertiary education","Total, 25 to 64 years","Male","Percent",22.5
2009,"Canada","Total, all levels","25 to 44 years","Both sexes","Percent",100
2009,"Canada","Total, all levels","25 to 44 years","Female","Percent",100
2009,"Canada","Total, all levels","25 to 44 years","Male","Percent",100
2009,"Canada","Total, all levels","45 to 64 years","Both sexes","Percent",100
2009,"Canada","Total, all levels","45 to 64 years","Female","Percent",100
2009,"Canada","Total, all levels","45 to 64 years","Male","Percent",100
2009,"Canada","Total, all levels","Total, 25 to 64 years","Both sexes","Percent",50
2009,"Canada","Total, all levels","Total, 25 to 64 years","Female","Percent",50
2009,"Canada","Total, all levels","Total, 25 to 64 years","Male","Percent",50
2009,"Canada","Upper secondary","25 to 44 years","Both sexes","Percent",24.5
2009,"Canada","Upper secondary","25 to 44 years","Female","Percent",22.5
2009,"Canada","Upper secondary","25 to 44 years","Male","Percent",26
2009,"Canada","Upper secondary","45 to 64 years","Both sexes","Percent",28
2009,"Canada","Upper secondary","45 to 64 years","Female","Percent",30
2009,"Canada","Upper secondary","45 to 64 years","Male","Percent",26
2009,"Canada","Upper secondary","Total, 25 to 64 years","Both sexes","Percent",13
2009,"Canada","Upper secondary","Total, 25 to 64 years","Female","Percent",13.5
2009,"Canada","Upper secondary","Total, 25 to 64 years","Male","Percent",13
2009,"Canada","Upper secondary and post-secondary non-tertiary","25 to 44 years","Both sexes","Percent",35.5
2009,"Canada","Upper secondary and post-secondary non-tertiary","25 to 44 years","Female","Percent",30.5
2009,"Canada","Upper secondary and post-secondary non-tertiary","25 to 44 years","Male","Percent",40.5
2009,"Canada","Upper secondary and post-secondary non-tertiary","45 to 64 years","Both sexes","Percent",41
2009,"Canada","Upper secondary and post-secondary non-tertiary","45 to 64 years","Female","Percent",39
2009,"Canada","Upper secondary and post-secondary non-tertiary","45 to 64 years","Male","Percent",42
2009,"Canada","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes","Percent",19
2009,"Canada","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female","Percent",17.5
2009,"Canada","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male","Percent",20.5
2009,"Canada","Upper secondary or above","25 to 44 years","Both sexes","Percent",91.5
2009,"Canada","Upper secondary or above","25 to 44 years","Female","Percent",92.5
2009,"Canada","Upper secondary or above","25 to 44 years","Male","Percent",90
2009,"Canada","Upper secondary or above","45 to 64 years","Both sexes","Percent",83
2009,"Canada","Upper secondary or above","45 to 64 years","Female","Percent",84
2009,"Canada","Upper secondary or above","45 to 64 years","Male","Percent",82.5
2009,"Canada","Upper secondary or above","Total, 25 to 64 years","Both sexes","Percent",43.5
2009,"Canada","Upper secondary or above","Total, 25 to 64 years","Female","Percent",44.5
2009,"Canada","Upper secondary or above","Total, 25 to 64 years","Male","Percent",43
2009,"Manitoba","Bachelor's level","25 to 44 years","Both sexes","Percent",19
2009,"Manitoba","Bachelor's level","25 to 44 years","Female","Percent",21.5
2009,"Manitoba","Bachelor's level","25 to 44 years","Male","Percent",16
2009,"Manitoba","Bachelor's level","45 to 64 years","Both sexes","Percent",12.5
2009,"Manitoba","Bachelor's level","45 to 64 years","Female","Percent",14
2009,"Manitoba","Bachelor's level","45 to 64 years","Male","Percent",12
2009,"Manitoba","Bachelor's level","Total, 25 to 64 years","Both sexes","Percent",8
2009,"Manitoba","Bachelor's level","Total, 25 to 64 years","Female","Percent",9
2009,"Manitoba","Bachelor's level","Total, 25 to 64 years","Male","Percent",7
2009,"Manitoba","Below upper secondary","25 to 44 years","Both sexes","Percent",11
2009,"Manitoba","Below upper secondary","25 to 44 years","Female","Percent",9.5
2009,"Manitoba","Below upper secondary","25 to 44 years","Male","Percent",13.5
2009,"Manitoba","Below upper secondary","45 to 64 years","Both sexes","Percent",20
2009,"Manitoba","Below upper secondary","45 to 64 years","Female","Percent",17
2009,"Manitoba","Below upper secondary","45 to 64 years","Male","Percent",22
2009,"Manitoba","Below upper secondary","Total, 25 to 64 years","Both sexes","Percent",7.5
2009,"Manitoba","Below upper secondary","Total, 25 to 64 years","Female","Percent",6.5
2009,"Manitoba","Below upper secondary","Total, 25 to 64 years","Male","Percent",9
2009,"Manitoba","Lower secondary","25 to 44 years","Both sexes","Percent",8.5
2009,"Manitoba","Lower secondary","25 to 44 years","Female","Percent",7
2009,"Manitoba","Lower secondary","25 to 44 years","Male","Percent",11
2009,"Manitoba","Lower secondary","45 to 64 years","Both sexes","Percent",14.5
2009,"Manitoba","Lower secondary","45 to 64 years","Female","Percent",12
2009,"Manitoba","Lower secondary","45 to 64 years","Male","Percent",16.5
2009,"Manitoba","Lower secondary","Total, 25 to 64 years","Both sexes","Percent",6
2009,"Manitoba","Lower secondary","Total, 25 to 64 years","Female","Percent",4.5
2009,"Manitoba","Lower secondary","Total, 25 to 64 years","Male","Percent",7
2009,"Manitoba","Master's or Doctoral level","25 to 44 years","Both sexes","Percent",5.5
2009,"Manitoba","Master's or Doctoral level","25 to 44 years","Female","Percent",5
2009,"Manitoba","Master's or Doctoral level","25 to 44 years","Male","Percent",5.5
2009,"Manitoba","Master's or Doctoral level","45 to 64 years","Both sexes","Percent",6.5
2009,"Manitoba","Master's or Doctoral level","45 to 64 years","Female","Percent",6
2009,"Manitoba","Master's or Doctoral level","45 to 64 years","Male","Percent",7
