"REF_DATE","GEO","Persons.in.low.income","Low.income.lines","Statistics","UOM","SCALAR_FACTOR","VALUE","STATUS"
2009,"Canada","Persons under 18 years in female lone-parent families","Low income measure after tax","Percentage of persons in low income","Percent","units",39.2,"C"
2009,"Canada","Persons under 18 years in all other economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",14.5,"E"
2009,"Canada","Persons 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.6,"B"
2009,"Canada","Males 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.8,"C"
2009,"Canada","Females 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.3,"B"
2009,"Canada","Persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",27.1,"B"
2009,"Canada","Males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",24.4,"C"
2009,"Canada","Females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",29.8,"C"
2009,"Canada","Elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",28.3,"C"
2009,"Canada","Elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",21.3,"D"
2009,"Canada","Elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",31.2,"C"
2009,"Canada","Non-elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",26.6,"C"
2009,"Canada","Non-elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",25,"C"
2009,"Canada","Non-elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",29,"C"
2009,"Atlantic provinces","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",15.7,"B"
2009,"Atlantic provinces","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",19.2,"C"
2009,"Atlantic provinces","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.9,"B"
2009,"Atlantic provinces","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",18.8,"C"
2009,"Atlantic provinces","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",14,"C"
2009,"Atlantic provinces","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",18.2,"D"
2009,"Atlantic provinces","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",12.8,"C"
2009,"Atlantic provinces","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",13.8,"D"
2009,"Atlantic provinces","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",17.2,"B"
2009,"Atlantic provinces","Females, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",20.2,"D"
2009,"Atlantic provinces","Females, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",15,"C"
2009,"Atlantic provinces","Females, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",22.9,"C"
2009,"Atlantic provinces","Persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12.3,"C"
2009,"Atlantic provinces","Males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.3,"C"
2009,"Atlantic provinces","Females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"C"
2009,"Atlantic provinces","Elderly persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.8,"D"
2009,"Atlantic provinces","Elderly males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.5,"D"
2009,"Atlantic provinces","Elderly females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11,"D"
2009,"Atlantic provinces","Persons under 18 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",19.2,"C"
2009,"Atlantic provinces","Persons under 18 years in couple families with children","Low income measure after tax","Percentage of persons in low income","Percent","units",13.8,"D"
2009,"Atlantic provinces","Persons under 18 years in female lone-parent families","Low income measure after tax","Percentage of persons in low income","Percent","units",52.1,"D"
2009,"Atlantic provinces","Persons under 18 years in all other economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Atlantic provinces","Persons 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.3,"C"
2009,"Atlantic provinces","Males 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9,"C"
2009,"Atlantic provinces","Females 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.4,"C"
2009,"Atlantic provinces","Persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",35.1,"C"
2009,"Atlantic provinces","Males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",31,"C"
2009,"Atlantic provinces","Females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",38.4,"C"
2009,"Atlantic provinces","Elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",40.8,"C"
2009,"Atlantic provinces","Elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",31.5,"D"
2009,"Atlantic provinces","Elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",44.1,"C"
2009,"Atlantic provinces","Non-elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",32.9,"C"
2009,"Atlantic provinces","Non-elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",30.9,"D"
2009,"Atlantic provinces","Non-elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",35.1,"D"
2009,"Newfoundland and Labrador","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",15.4,"C"
2009,"Newfoundland and Labrador","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",20.5,"D"
2009,"Newfoundland and Labrador","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",12.9,"C"
2009,"Newfoundland and Labrador","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",20.6,"D"
2009,"Newfoundland and Labrador","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",13.6,"C"
2009,"Newfoundland and Labrador","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",19.1,"E"
2009,"Newfoundland and Labrador","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",11.6,"D"
2009,"Newfoundland and Labrador","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",15.5,"E"
2009,"Newfoundland and Labrador","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",17.2,"C"
2009,"Newfoundland and Labrador","Females, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",22,"E"
2009,"Newfoundland and Labrador","Females, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",14.1,"C"
2009,"Newfoundland and Labrador","Females, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",25.1,"D"
2009,"Newfoundland and Labrador","Persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12.3,"C"
2009,"Newfoundland and Labrador","Males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.7,"D"
2009,"Newfoundland and Labrador","Females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",13,"D"
2009,"Newfoundland and Labrador","Elderly persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12.9,"E"
2009,"Newfoundland and Labrador","Elderly males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12.6,"E"
2009,"Newfoundland and Labrador","Elderly females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"E"
2009,"Newfoundland and Labrador","Persons under 18 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",20.4,"D"
2009,"Newfoundland and Labrador","Persons under 18 years in couple families with children","Low income measure after tax","Percentage of persons in low income","Percent","units",15.9,"E"
2009,"Newfoundland and Labrador","Persons under 18 years in female lone-parent families","Low income measure after tax","Percentage of persons in low income","Percent","units",56.7,"E"
2009,"Newfoundland and Labrador","Persons under 18 years in all other economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Newfoundland and Labrador","Persons 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.7,"D"
2009,"Newfoundland and Labrador","Males 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.1,"D"
2009,"Newfoundland and Labrador","Females 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.2,"C"
2009,"Newfoundland and Labrador","Persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",37.6,"D"
2009,"Newfoundland and Labrador","Males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",27.7,"E"
2009,"Newfoundland and Labrador","Females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",46.3,"D"
2009,"Newfoundland and Labrador","Elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",49.6,"D"
2009,"Newfoundland and Labrador","Elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Newfoundland and Labrador","Elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",51.9,"D"
2009,"Newfoundland and Labrador","Non-elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",33.6,"D"
2009,"Newfoundland and Labrador","Non-elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",25.9,"E"
2009,"Newfoundland and Labrador","Non-elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",43.1,"D"
2009,"Prince Edward Island","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",12.8,"D"
2009,"Prince Edward Island","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",17.4,"E"
2009,"Prince Edward Island","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",11.3,"D"
2009,"Prince Edward Island","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",12.6,"E"
2009,"Prince Edward Island","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",12.2,"D"
2009,"Prince Edward Island","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",16,"E"
2009,"Prince Edward Island","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",11.2,"E"
2009,"Prince Edward Island","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",10.7,"E"
2009,"Prince Edward Island","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"D"
2009,"Prince Edward Island","Females, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",18.9,"E"
2009,"Prince Edward Island","Females, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",11.4,"D"
2009,"Prince Edward Island","Females, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",14.2,"E"
2009,"Prince Edward Island","Persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.7,"D"
2009,"Prince Edward Island","Males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.5,"E"
2009,"Prince Edward Island","Females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12,"D"
2009,"Prince Edward Island","Elderly persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",6.6,"E"
2009,"Prince Edward Island","Elderly males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",6.8,"E"
2009,"Prince Edward Island","Elderly females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Prince Edward Island","Persons under 18 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",17.4,"E"
2009,"Prince Edward Island","Persons under 18 years in couple families with children","Low income measure after tax","Percentage of persons in low income","Percent","units",10.8,"E"
2009,"Prince Edward Island","Persons under 18 years in female lone-parent families","Low income measure after tax","Percentage of persons in low income","Percent","units",55.2,"E"
2009,"Prince Edward Island","Persons under 18 years in all other economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Prince Edward Island","Persons 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9,"D"
2009,"Prince Edward Island","Males 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",7.3,"E"
2009,"Prince Edward Island","Females 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.6,"D"
2009,"Prince Edward Island","Persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",25.7,"D"
2009,"Prince Edward Island","Males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",32.2,"E"
2009,"Prince Edward Island","Females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",20.7,"E"
2009,"Prince Edward Island","Elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",29.5,"E"
2009,"Prince Edward Island","Elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Prince Edward Island","Elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",28.3,"E"
2009,"Prince Edward Island","Non-elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",24.2,"E"
2009,"Prince Edward Island","Non-elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",32.1,"E"
2009,"Prince Edward Island","Non-elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Nova Scotia","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",16.9,"C"
2009,"Nova Scotia","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",20.3,"D"
2009,"Nova Scotia","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",15.2,"C"
2009,"Nova Scotia","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",20,"D"
2009,"Nova Scotia","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",15.3,"C"
2009,"Nova Scotia","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",19.8,"E"
2009,"Nova Scotia","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",14,"D"
2009,"Nova Scotia","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",15.1,"D"
2009,"Nova Scotia","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",18.4,"C"
2009,"Nova Scotia","Females, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",20.8,"D"
2009,"Nova Scotia","Females, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",16.4,"C"
2009,"Nova Scotia","Females, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",24,"D"
2009,"Nova Scotia","Persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"C"
2009,"Nova Scotia","Males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12.1,"D"
2009,"Nova Scotia","Females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",14.4,"C"
2009,"Nova Scotia","Elderly persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.1,"E"
2009,"Nova Scotia","Elderly males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11,"E"
2009,"Nova Scotia","Elderly females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.2,"E"
2009,"Nova Scotia","Persons under 18 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",20.3,"D"
2009,"Nova Scotia","Persons under 18 years in couple families with children","Low income measure after tax","Percentage of persons in low income","Percent","units",15.4,"E"
2009,"Nova Scotia","Persons under 18 years in female lone-parent families","Low income measure after tax","Percentage of persons in low income","Percent","units",50.3,"E"
2009,"Nova Scotia","Persons under 18 years in all other economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Nova Scotia","Persons 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.2,"D"
2009,"Nova Scotia","Males 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.5,"D"
2009,"Nova Scotia","Females 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12.8,"D"
2009,"Nova Scotia","Persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",35.3,"C"
2009,"Nova Scotia","Males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",33.5,"D"
2009,"Nova Scotia","Females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",36.8,"D"
2009,"Nova Scotia","Elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",40.2,"D"
2009,"Nova Scotia","Elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",34.5,"E"
2009,"Nova Scotia","Elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",42.2,"D"
2009,"Nova Scotia","Non-elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",33.4,"D"
2009,"Nova Scotia","Non-elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",33.3,"D"
2009,"Nova Scotia","Non-elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",33.4,"D"
2009,"New Brunswick","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",14.8,"C"
2009,"New Brunswick","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",17.3,"D"
2009,"New Brunswick","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.6,"C"
2009,"New Brunswick","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",17,"D"
2009,"New Brunswick","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",13.1,"C"
2009,"New Brunswick","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",16.2,"E"
2009,"New Brunswick","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",12.5,"D"
2009,"New Brunswick","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",11.5,"E"
2009,"New Brunswick","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",16.5,"C"
2009,"New Brunswick","Females, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",18.4,"D"
2009,"New Brunswick","Females, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",14.7,"C"
2009,"New Brunswick","Females, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",21.5,"D"
2009,"New Brunswick","Persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",11.4,"C"
2009,"New Brunswick","Males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.5,"D"
2009,"New Brunswick","Females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",12.3,"C"
2009,"New Brunswick","Elderly persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.6,"E"
2009,"New Brunswick","Elderly males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.2,"E"
2009,"New Brunswick","Elderly females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.1,"E"
2009,"New Brunswick","Persons under 18 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",17.3,"D"
2009,"New Brunswick","Persons under 18 years in couple families with children","Low income measure after tax","Percentage of persons in low income","Percent","units",11.1,"D"
2009,"New Brunswick","Persons under 18 years in female lone-parent families","Low income measure after tax","Percentage of persons in low income","Percent","units",51.2,"E"
2009,"New Brunswick","Persons under 18 years in all other economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"New Brunswick","Persons 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.7,"C"
2009,"New Brunswick","Males 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",8.8,"D"
2009,"New Brunswick","Females 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.7,"C"
2009,"New Brunswick","Persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",35,"D"
2009,"New Brunswick","Males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",29.4,"D"
2009,"New Brunswick","Females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",39.6,"D"
2009,"New Brunswick","Elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",39,"D"
2009,"New Brunswick","Elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",23,"E"
2009,"New Brunswick","Elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",45.8,"D"
2009,"New Brunswick","Non-elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",33.5,"D"
2009,"New Brunswick","Non-elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",30.8,"E"
2009,"New Brunswick","Non-elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",36.4,"D"
2009,"Quebec","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",14.2,"B"
2009,"Quebec","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.2,"D"
2009,"Quebec","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.8,"C"
2009,"Quebec","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",17.6,"C"
2009,"Quebec","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"C"
2009,"Quebec","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",14.5,"D"
2009,"Quebec","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"C"
2009,"Quebec","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",11.2,"D"
2009,"Quebec","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",15.1,"C"
2009,"Quebec","Females, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",11.9,"D"
2009,"Quebec","Females, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",14.2,"C"
2009,"Quebec","Females, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",22.7,"D"
2009,"Quebec","Persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.1,"C"
2009,"Quebec","Males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10,"D"
2009,"Quebec","Females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10.2,"C"
2009,"Quebec","Elderly persons in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",7.2,"D"
2009,"Quebec","Elderly males in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",6.8,"D"
2009,"Quebec","Elderly females in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",7.6,"E"
2009,"Quebec","Persons under 18 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"D"
2009,"Quebec","Persons under 18 years in couple families with children","Low income measure after tax","Percentage of persons in low income","Percent","units",9.3,"E"
2009,"Quebec","Persons under 18 years in female lone-parent families","Low income measure after tax","Percentage of persons in low income","Percent","units",38.4,"D"
2009,"Quebec","Persons under 18 years in all other economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",NA,"F"
2009,"Quebec","Persons 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",9.5,"C"
2009,"Quebec","Males 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",8.9,"D"
2009,"Quebec","Females 18 to 64 years in economic families","Low income measure after tax","Percentage of persons in low income","Percent","units",10,"C"
2009,"Quebec","Persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",33.8,"C"
2009,"Quebec","Males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",28,"D"
2009,"Quebec","Females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",40.1,"D"
2009,"Quebec","Elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",39.8,"D"
2009,"Quebec","Elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",28.9,"E"
2009,"Quebec","Elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",43.9,"D"
2009,"Quebec","Non-elderly persons not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",31.7,"D"
2009,"Quebec","Non-elderly males not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",27.9,"D"
2009,"Quebec","Non-elderly females not in an economic family","Low income measure after tax","Percentage of persons in low income","Percent","units",37.6,"D"
2009,"Ontario","All persons","Low income measure after tax","Percentage of persons in low income","Percent","units",13.7,"B"
2009,"Ontario","Persons under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",15.9,"C"
2009,"Ontario","Persons 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.8,"C"
2009,"Ontario","Persons 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",9.9,"D"
2009,"Ontario","Males","Low income measure after tax","Percentage of persons in low income","Percent","units",13.1,"C"
2009,"Ontario","Males, under 18 years","Low income measure after tax","Percentage of persons in low income","Percent","units",15.6,"D"
2009,"Ontario","Males, 18 to 64 years","Low income measure after tax","Percentage of persons in low income","Percent","units",13.3,"C"
2009,"Ontario","Males, 65 years and over","Low income measure after tax","Percentage of persons in low income","Percent","units",7.3,"E"
2009,"Ontario","Females","Low income measure after tax","Percentage of persons in low income","Percent","units",14.3,"C"
